,ADF Statistic,P value,Stationary,Lags used,1% Statistic,5% Statistic,10% Statistic
0,-31.135456715933348,0.0,True,63,-3.4304320207017187,-2.8615762517635837,-2.5667892955629172
1,-30.3111149247782,0.0,True,50,-3.4305683738678185,-2.8616365153406917,-2.5668213721716278
2,-12.417765139273605,4.203032020213724e-23,True,33,-3.430896653028002,-2.8617815924901904,-2.566898594631682
3,-11.920863311785974,5.036200768317143e-22,True,36,-3.4312266484799676,-2.861927411970959,-2.5669762150148263
4,-18.391656648473283,2.2002069699102836e-30,True,50,-3.4305696501602094,-2.861637079406522,-2.566821672410293
5,-21.371617557569063,0.0,True,40,-3.430926483349301,-2.861794774676732,-2.566905611455688
6,-27.037520082015135,0.0,True,61,-3.4304507062000944,-2.861584510297845,-2.566793691320161
7,-35.96929504635971,0.0,True,58,-3.430469031772108,-2.8615926097029334,-2.5667980023867583
8,-45.85381112437253,0.0,True,80,-3.4303844145730467,-2.861555210781522,-2.5667780961529054
9,-43.16657407166706,0.0,True,72,-3.430400530693594,-2.8615623338308454,-2.5667818875068993
10,-16.350887779888076,2.933251164919363e-29,True,50,-3.4305678936283237,-2.8616363030956204,-2.566821259198696
11,-31.598973118037787,0.0,True,64,-3.4304318113695134,-2.861576159243563,-2.5667892463174806
12,-34.03126283160028,0.0,True,49,-3.430568366575669,-2.8616365121178777,-2.5668213704562017
13,-15.695818937554316,1.4155790473970562e-28,True,39,-3.430896927350487,-2.86178171371544,-2.5668986591592824
14,-13.499716015296379,2.9934612288620966e-25,True,36,-3.4312367530039785,-2.8619318767360453,-2.566978591673864
15,-5.096285654028272,1.4262100641318736e-05,True,48,-3.4306156693349137,-2.8616574177219416,-2.5668324980342097
16,-21.10500415934948,0.0,True,29,-3.431333289473454,-2.861974531385726,-2.5670012974921903
17,-27.681662254952478,0.0,True,61,-3.430452281348188,-2.8615852064724847,-2.5667940618723724
18,-33.028722890366495,0.0,True,66,-3.4304227159038154,-2.8615721392506,-2.5667871066053762
19,-46.89671720193885,0.0,True,80,-3.4303835494213994,-2.861554828398214,-2.566777892623622
20,-8.730618431912534,3.199116019704768e-14,True,55,-3.430508384756253,-2.8616100024840514,-2.56680726006372
21,-15.566370828463612,2.0124276931081666e-28,True,71,-3.430404720145815,-2.8615641854906553,-2.566782873082789
